trader_id,date,orders_placed,cancel_count,expired_count,mean_order_size,max_order_size,mean_replace_count_15m,mean_cancel_count_15m,api_order_share,fill_ratio_mean,buy_trades,buy_volume_usdc,sell_trades,sell_volume_usdc,sessions_count,distinct_devices,distinct_ips,vpn_share,tor_share,same_fp_repeat,deposits_usd,withdrawals_usd,top_counterparty_trade_share,self_trade_count,shared_device_session_share,shared_fp_session_share,shared_withdraw_addr_share
tr_0001,2026-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,804.74,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-05,1.0,1.0,0.0,20.5,20.5,0.0,0.0,1.0,0.1424390243902439,1.0,0.51,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
tr_0001,2026-01-08,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.286,0.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-09,2.0,2.0,0.0,8.59,9.4,1.0,0.5,0.0,0.1420256111757858,4.0,42.37,1.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-10,2.0,1.0,1.0,59.650000000000006,77.43,0.0,3.5,0.0,0.011316010058675607,0.0,0.0,2.0,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
tr_0001,2026-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-13,1.0,0.0,0.0,52.32,52.32,1.0,2.0,0.0,1.0,0.0,0.0,3.0,14.709999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
tr_0001,2026-01-14,1.0,0.0,0.0,12.32,12.32,1.0,0.0,1.0,0.26055194805194803,1.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.76,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-15,2.0,1.0,0.0,17.564999999999998,23.2,0.5,0.5,0.5,0.6757756902931967,2.0,12.5,3.0,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
tr_0001,2026-01-16,1.0,0.0,0.0,9.59,9.59,0.0,2.0,0.0,0.1616266944734098,1.0,0.89,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-17,3.0,0.0,0.0,14.066666666666668,20.07,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.2838862559241706,3.0,1.9000000000000001,1.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-18,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,0.81,2.0,5.970000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-19,2.0,0.0,0.0,24.4,26.97,0.5,0.0,0.0,1.0,2.0,21.97,4.0,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
tr_0001,2026-01-20,3.0,0.0,0.0,20.430000000000003,39.31,1.0,1.3333333333333333,0.3333333333333333,0.9675314080600423,3.0,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
tr_0001,2026-01-21,5.0,4.0,1.0,20.846,33.0,0.4,1.2,0.4,0.059867600498896674,2.0,1.27,7.0,29.369999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
tr_0001,2026-01-22,4.0,1.0,0.0,21.4275,37.19,0.75,1.25,0.5,0.5159257962898145,6.0,40.120000000000005,1.0,18.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-23,3.0,3.0,0.0,45.10333333333333,66.01,0.6666666666666666,1.0,0.0,0.09578006060158156,2.0,1.24,3.0,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
tr_0001,2026-01-24,5.0,1.0,0.0,11.976,21.69,0.8,2.0,0.0,0.8942885771543087,6.0,12.31,1.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-25,1.0,1.0,0.0,223.76,223.76,0.0,0.0,0.0,0.1269217018233822,5.0,9.74,5.0,144.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
tr_0001,2026-01-26,4.0,2.0,1.0,35.3625,68.74,0.25,1.5,0.75,0.10215623895369388,4.0,52.82,3.0,13.379999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
tr_0001,2026-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.02,1.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tr_0001,2026-01-28,1.0,0.0,0.0,125.35,125.35,0.0,0.0,0.0,1.0,2.0,67.67,3.0,45.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
tr_0001,2026-01-29,2.0,0.0,0.0,22.01,24.26,1.5,1.5,0.5,1.0,2.0,15.990000000000002,3.0,30.619999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
tr_0001,2026-01-30,5.0,0.0,0.0,16.074,30.31,0.6,1.2,0.6,0.7388328978474554,5.0,47.269999999999996,5.0,24.759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,158.97,0.0,0.2,0.0,0.0,0.0,0.0
tr_0001,2026-01-31,5.0,2.0,1.0,29.303999999999995,53.74,0.6,1.2,0.4,0.2667895167895168,4.0,15.42,3.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
